;Ã¯..Col;X.;Date_Time;Temp;Date;Time;Time_zone
1;1;1;2019-01-26 10:00:00;30.356;2019-01-26;10:00:00;PST
2;1;2;2019-01-26 10:10:00;32.291;2019-01-26;10:10:00;PST
3;1;3;2019-01-26 10:20:00;33.222;2019-01-26;10:20:00;PST
4;1;4;2019-01-26 10:30:00;32.188;2019-01-26;10:30:00;PST
5;1;5;2019-01-26 10:40:00;31.778;2019-01-26;10:40:00;PST
6;1;6;2019-01-26 10:50:00;31.983;2019-01-26;10:50:00;PST
7;1;7;2019-01-26 11:00:00;32.086;2019-01-26;11:00:00;PST
8;1;8;2019-01-26 11:10:00;30.963;2019-01-26;11:10:00;PST
9;1;9;2019-01-26 11:20:00;31.268;2019-01-26;11:20:00;PST
10;1;10;2019-01-26 11:30:00;32.497;2019-01-26;11:30:00;PST
11;1;11;2019-01-26 11:40:00;33.014;2019-01-26;11:40:00;PST
12;1;12;2019-01-26 11:50:00;32.6;2019-01-26;11:50:00;PST
13;1;13;2019-01-26 12:00:00;31.268;2019-01-26;12:00:00;PST
14;1;14;2019-01-26 12:10:00;30.255;2019-01-26;12:10:00;PST
15;1;15;2019-01-26 12:20:00;29.053;2019-01-26;12:20:00;PST
16;1;16;2019-01-26 12:30:00;28.555;2019-01-26;12:30:00;PST
17;1;17;2019-01-26 12:40:00;28.258;2019-01-26;12:40:00;PST
18;1;18;2019-01-26 12:50:00;28.06;2019-01-26;12:50:00;PST
19;1;19;2019-01-26 13:00:00;28.159;2019-01-26;13:00:00;PST
20;1;20;2019-01-26 13:10:00;28.853;2019-01-26;13:10:00;PST
